Standard,Standaard1
Minimal,Minimaal1
Optional,Optioneel1
Required,Verplicht1
Hidden,Verborgen
The one page checkout is disabled.,Deze 1 pagina checkout is niet beschikbaar.
One Page Checkout Section,One Page Checkout sectie
One Page Checkout,One Page Checkout
Default Shipping Method,Standaard verzend methode
Default Payment Method,Standaard betaal methode
Default Country,Standaard land
GeoIP,GeoIP
Enable Country Detection,Land detectie aan
Email Address,Emailadres
Password,Wachtwoord
Forgot Your Password?,Wachtwoord vergeten?
Company,Bedrijf
Address,Adres
Street Address,Adres
Street Address %s,Adres %s
City,Stad
State / Province,Provincie
Select One,Selecteer
Zip Code,Postcode
Telephone,Telefoonnummer
Fax,Fax
