Standard,Standaard
Minimal,Minimaal
Optional,Optioneel
Required,Verplicht
Hidden,Verborgen
The one page checkout is disabled.,Deze 1 pagina checkout is niet beschikbaar.
One Page Checkout Section,One Page Checkout sectie
One Page Checkout,CiderCider
Default Shipping Method,Standaard verzend methode
Default Payment Method,Standaard betaal methode
Default Country,Standaard land
GeoIP,GeoIP
Enable Country Detection,Land detectie aan
<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it
Enable City Detection,Stad detectie aan
<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it
Show Shipping Address Form,Geef verzend adres weer
Show Subscribe to Newsletter Checkbox,Geef nieuwsbrief inschrijf checkbox weer
Address Form Fields,Adres vorm veld
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Before changing some of the fields, be sure that your payment/shipping provider does not require them"
Output Type,Output Type
Create account for later use,"Cree'r een account voor later gebruik"
Checkout Review,Checkout Review
Already registered? Click here to login,Al gregistreerd? Klik hier om in te loggen
Show Comment Field,Geef een commentaar veld weer
New Address,Nieuw adres
Country,Land
Checkout,Checkout
Coupon code was canceled.,De kortingscode is geannuleerd.
Cannot apply the coupon code.,De kortingscode kan niet gebruikt worden.
"Coupon code ""%s"" was applied.","Kortingscode ""%s"" is toegepast."
"Coupon code ""%s"" is not valid.","Kortingscode ""%s"" is niet geldig."
Please enter your email.,Vul alstublieft uw emailadres in.
Invalid email address.,Ongeldig emailadres.
This email address was not found in our records.,Dit emailadres is niet bij ons bekend.
