Standard,Стандартно
Minimal,Минимум
Optional,Опцыонально
Required,Обязательно
Hidden,Скрытое
The one page checkout is disabled.,One page checkout отключён.
One Page Checkout Section,Секцыя One Page Checkout
One Page Checkout,One Page Checkout
Default Shipping Method,Метод доставки по умолчанию
Default Payment Method,Платежный метод по умолчанию
Default Country,Страна по умолчанию
GeoIP,GeoIP
Enable Country Detection,Включить Автоопределение Страны
<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Загрузить базу GeoIP'>Загрузить</a> и распаковать файл в папке 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' если его там нет
Enable City Detection,Включить Автоопределение Города
<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Загрузить базу GeoCity'>Загрузить</a> и распаковать файл в папке 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' если его там нет
Show Shipping Address Form,Показать форму Адреса доставки
Show Subscribe to Newsletter Checkbox,Показать чекбокс для подписки на новости
Address Form Fields,Поля Формы Адреса
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Прежде чем менять поля, убедитесь что они не обязательны для Вашего payment/shipping провайдера"
Output Type,Тип вывода
Already registered? Click here to login,Уже зарегестрированы? Нажмите чтобы войти
Show Comment Field,Показать поле для коментариев
New Address,Новый Адрес
Country,Страна
Checkout,Checkout
Coupon code was canceled.,Код купона отменён.
Cannot apply the coupon code.,Не возможно применить код купона.
"Coupon code ""%s"" was applied.","Код купона ""%s"" применён."
"Coupon code ""%s"" is not valid.","Код купона ""%s"" недействителен."
Please enter your email.,Пожалуйста введите Ваш email.
Invalid email address.,Неверный email.
This email address was not found in our records.,Этот email не найден в наших записях.
A new password has been sent.,Новый пароль был выслан.
Login and password are required.,Логин и пароль необходимы.
"Email is not confirmed. <a href=""%s"">Resend confirmation email.</a>","Email не подтверждён. <a href=""%s"">Выслать подтверждающее письмо.</a>"
Please agree to all the terms and conditions.,Пожалуйста согласитесь с правилами и условиями использования.
There was an error processing your order. Please contact support or try again later.,Произошла ошибка в обработке Вашего заказа. Пожалуйста свяжитесь с службой поддержки или попробуйте снова.
Unable to set Payment Method.,Невозможно установить платежный метод.
"Sorry, subscription for guests is not allowed. Please <a href=""%s"">register</a>.","Извините, подписка для гостей не разрешена. Пожалуйста <a href=""%s"">зарегистрируйтесь</a>."
"Sorry, you are trying to subscribe email assigned to another user.","Извините, Вы пытаетесь использовать для подписки email принадлежащий другому пользователю."
